genera,Genera Count,Number of Contigs
Siansivirga,1,17
Sideroxydans,1,20
Simkania,1,13
Salegentibacter,1,30
Singulisphaera,1,63
Sinomonas,1,27
Thermincola,1,11
Slackia,1,17
Thermanaerovibrio,1,10
Sneathia,1,6
Snodgrassella,1,22
Seonamhaeicola,1,20
Thermobaculum,1,17
Segniliparus,1,29
Sediminispirochaeta,1,38
Salinarchaeum,1,22
Salinibacter,1,27
Salinicoccus,1,15
Salinispira,1,26
Salinivirga,1,29
Salipiger,1,30
Sandaracinus,1,67
Sanguibacter,1,26
Saprospira,1,24
Thermobifida,1,22
Scardovia,1,14
Sebaldella,1,28
Secondary,1,16
Sedimenticola,1,21
Sediminicola,1,22
Solibacillus,1,22
Solitalea,1,37
Sorangium,1,87
Starkeya,1,31
Steroidobacter,1,24
Stigmatella,1,75
Streptobacillus,1,12
Syntrophothermus,1,16
Streptosporangium,1,62
Sugiyamaella,1,108
Sulfuricaulis,1,20
Sulfuricella,1,15
Sulfuricurvum,1,24
Sulfuriferula,1,17
Sulfurifustis,1,31
Syntrophomonas,1,17
Sulfuritalea,1,27
Syntrophobotulus,1,34
Syntrophobacter,1,43
Syntrophus,1,21
Tannerella,1,21
Thermaerobacter,1,12
Stackebrandtia,1,55
Thermacetogenium,1,21
Sphaerobacter,1,27
Theileria,1,52
Thalassotalea,1,31
Thalassospira,1,35
Thalassolituus,1,28
Sphingobacteriaceae,1,40
Tetragenococcus,1,12
Terribacillus,1,20
Teredinibacter,1,40
Tepidanaerobacter,1,17
Tatumella,1,20
Tatlockia,1,22
Tateyamaria,1,24
Spongiibacter,1,24
Salimicrobium,1,13
Thermobispora,1,23
Tropheryma,1,4
Thermothielavioides,1,235
Psychroflexus,1,36
Thiobacillus,1,21
Pusillimonas,1,28
Thermovirga,1,14
Thermovibrio,1,13
Pyrodictium,1,13
Pyrolobus,1,9
Ramlibacter,1,28
Saccharothrix,1,61
Thermothelomyces,1,279
Thermosynechococcus,1,18
Thermosulfidibacter,1,9
Raoultella,1,38
Renibacterium,1,28
Symbiobacterium,1,22
Rhizobacter,1,37
Thioclava,1,25
Thiocystis,1,40
Thioflavicoccus,1,20
Thiohalobacter,1,25
Pseudanabaena,1,25
Trichodesmium,1,41
Tolumonas,1,20
Tistrella,1,27
Pseudodesulfovibrio,1,15
Pseudogulbenkiania,1,28
Pseudohongiella,1,29
Thioploca,1,29
Thiomonas,1,15
Thiomicrospira,1,13
Thiolapillus,1,17
Pseudopedobacter,1,28
Pseudoplusia,1,1
Pseudopropionibacterium,1,31
Pseudorhodoplanes,1,41
Rhizorhabdus,1,34
Thermosphaera,1,7
Rhodanobacter,1,34
Roseateles,1,49
Roseibacterium,1,23
Roseomonas,1,46
Roseovarius,1,26
Rubinisphaera,1,36
Rubrivivax,1,35
Thermodesulfovibrio,1,12
Thermodesulfobium,1,12
Thermodesulfatator,1,20
Ruminiclostridium,1,24
Ruminococcaceae,1,17
Rummeliibacillus,1,15
Thermoclostridium,1,20
Saccharomonospora,1,26
Saccharophagus,1,37
Saccharopolyspora,1,53
Roseburia,1,28
Thermogladius,1,9
Rhodobacteraceae,1,23
Robiginitalea,1,16
Thermosediminibacter,1,15
Rhodoluna,1,7
Rhodomicrobium,1,32
Rhodopirellula,1,46
Rhodoplanes,1,60
Rhodopseudomonas,1,33
Thermoplasmatales,1,6
Rhodothermaceae,1,36
Rhodothermus,1,24
Thermomonospora,1,35
Thermomicrobium,1,15
