genera,Genera Count,Number of Contigs
Roseomonas,1,371
Roseburia,1,225
Sanxia,1,2
Roseateles,1,405
Pyrolobus,1,132
Ramlibacter,1,252
Raoultella,1,358
Renibacterium,1,244
Rhizobacter,1,474
Rhizorhabdus,1,379
Rhodanobacter,1,289
Rhodobacteraceae,1,245
Rhodoluna,1,101
Rhodomicrobium,1,290
Rhodopirellula,1,463
Rhodoplanes,1,602
Rhodopseudomonas,1,372
Rhodothermaceae,1,295
Rhodothermus,1,209
Rickettsiales,1,121
Riemerella,1,152
Rivularia,1,648
Robiginitalea,1,281
Sanguibacter,1,327
Saprospira,1,279
Syntrophobacter,1,322
Solitalea,1,347
Sphaerobacter,1,302
Sphingobacteriaceae,1,428
Spongiibacter,1,264
Stackebrandtia,1,487
Starkeya,1,332
Steroidobacter,1,258
Stigmatella,1,743
Streptobacillus,1,124
Streptosporangium,1,791
Sugiyamaella,1,1109
Sulfolobales,1,2
Sulfuricaulis,1,207
Sulfuricella,1,204
Sulfuricurvum,1,187
Sulfuriferula,1,219
Sulfurifustis,1,251
Sulfuritalea,1,235
Symbiobacterium,1,243
Synechocystis,1,466
Sorangium,1,906
Solibacillus,1,277
Scardovia,1,115
Snodgrassella,1,166
Sebaldella,1,284
Secondary,1,174
Sedimenticola,1,285
Sediminicola,1,252
Sediminispirochaeta,1,352
Segniliparus,1,213
Seonamhaeicola,1,274
Serinicoccus,1,284
Shimwellia,1,291
Shinella,1,342
Siansivirga,1,242
Oleiphilus,1,467
Sideroxydans,1,206
Simiduia,1,279
Simkania,1,181
Singulisphaera,1,657
Sinomonas,1,324
Slackia,1,231
Sneathia,1,82
Oleispira,1,312
Acaryochloris,1,454
Oenococcus,1,122
Defluviitoga,1,137
Cuniculiplasma,1,128
Cyanidioschyzon,1,1154
Cystobacter,1,881
Cytophaga,1,309
Dactylococcopsis,1,260
Dechloromonas,1,303
Dechlorosoma,1,257
Deferribacter,1,136
Defluviimonas,1,359
Dehalobacterium,1,235
Croceibacter,1,210
Denitrobacterium,1,176
Denitrovibrio,1,214
Dermacoccus,1,233
Dermatophilus,1,182
Desulfarculus,1,276
Desulfatibacillum,1,462
Desulfobacca,1,242
Desulfobacterium,1,382
Desulfobacula,1,370
Cryptobacterium,1,109
Crinalium,1,405
Desulfohalobium,1,213
Cloacibacillus,1,252
Chloracidobacterium,1,260
Chloroherpeton,1,228
Chondrocystis,1,297
Chondromyces,1,825
Chromatiaceae,1,352
Chromohalobacter,1,245
Chroococcidiopsis,1,440
Citromicrobium,1,254
Clavibacter,1,240
Cnuibacter,1,286
Coxiellalike,1,120
Cobetia,1,288
Condylorrhiza,1,4
Conexibacter,1,471
Confluentimicrobium,1,270
Coprothermobacter,1,94
Coraliomargarita,1,292
Corallococcus,1,702
Coriobacteriaceae,1,125
Coriobacterium,1,152
Desulfocapsa,1,279
Desulfomonile,1,434
Chania,1,347
Fimbriimonas,1,363
Faecalibacterium,1,190
Faecalibaculum,1,173
Ferrimonas,1,308
Ferroglobus,1,141
Fervidicoccus,1,103
Fibrella,1,404
Fibrobacter,1,245
Filifactor,1,143
Filimonas,1,564
Finegoldia,1,133
Ethanoligenens,1,231
Fischerella,1,394
Flammeovirga,1,506
Flammeovirgaceae,1,448
Flavisolibacter,1,436
Flavonifractor,1,267
Flexistipes,1,163
Fluviicola,1,345
Frateuria,1,237
Frischella,1,193
Ezakiella,1,116
Erysipelotrichaceae,1,288
Desulfotalea,1,241
Dietzia,1,232
Desulfurella,1,125
Desulfurispirillum,1,188
Desulfurivibrio,1,216
Desulfurobacterium,1,115
Devosia,1,359
Devriesea,1,196
Dialister,1,78
Diaphorobacter,1,296
Dichelobacter,1,104
Dinoroseobacter,1,279
Eremothecium,1,613
Dokdonella,1,314
Draconibacterium,1,351
Dyadobacter,1,512
Echinicola,1,362
Ectothiorhodospira,1,235
Eggerthellaceae,1,107
Eikenella,1,127
Elusimicrobium,1,118
Endomicrobium,1,112
Chelativorans,1,291
Changping,1,1
Odoribacter,1,287
Anaerolinea,1,214
Alkalilimnicola,1,208
Alkalitalea,1,363
Alloactinosynnema,1,558
Allochromatium,1,247
Allofrancisella,1,109
Aminobacter,1,402
Aminobacterium,1,153
Ammonifex,1,148
Amphibacillus,1,173
Anaerostipes,1,220
Alicyclobacillus,1,204
Antarctobacter,1,345
Aquaspirillum,1,260
Aquifex,1,102
Arachidicoccus,1,264
Arcanobacterium,1,141
Archangium,1,867
Ardenticatena,1,322
Arenibacter,1,412
Arsenicicoccus,1,287
Alistipes,1,275
Alicycliphilus,1,368
Asaia,1,222
Actinotignum,1,136
Acetobacterium,1,283
Acetohalobium,1,157
Acetomicrobium,1,155
Acidihalobacter,1,284
Acidimicrobium,1,149
Acidipropionibacterium,1,220
Acidobacterium,1,322
Acidothermus,1,180
Actinopolyspora,1,379
Adlercreutzia,1,186
Algoriphagus,1,262
Aequorivita,1,234
Aeribacillus,1,293
Aeromicrobium,1,244
Agarilytica,1,479
Agarivorans,1,317
Agromyces,1,315
Alcaligenaceae,1,342
Alcaligenes,1,302
Algibacter,1,309
Arsenophonus,1,63
Ashbya,1,1
Cedecea,1,295
Caldisphaera,1,124
Botrytis,1,2991
Brenneria,1,394
Brochothrix,1,168
BtNvAlphaCoVSC,1,1
BtRfAlphaCoVYN,1,1
Buchnera,1,47
Caldilinea,1,405
Caldimicrobium,1,139
Caldisericum,1,123
Calditerrivibrio,1,162
Blastococcus,1,352
Caldithrix,1,387
Caldivirga,1,168
Candida,1,1004
Carboxydothermus,1,155
Cardinium,1,72
Cardiospermum,1,1
Castellaniella,1,299
Catenulispora,1,721
Caulobacteraceae,1,256
Bole,1,3
Blastochloris,1,287
Aster,1,55
Barnesiella,1,201
Asticcacaulis,1,276
Atopobium,1,119
Aurantimicrobium,1,125
Aureimonas,1,253
Auricoccus,1,113
Azorhizobium,1,384
Bacterioplanes,1,292
Bacteriovorax,1,273
Bacteroidales,1,179
Basilea,1,137
Bibersteinia,1,168
Baumannia,1,53
Beggiatoa,1,291
Beijerinckia,1,296
Belliella,1,301
Bernardetia,1,346
Beta,1,147
Betaproteobacteria,1,367
Beutenbergia,1,353
Bhendi,1,2
Fuerstia,1,596
Gallibacterium,1,202
Gallionella,1,237
Methanothermus,1,96
Methanohalobium,1,155
Methanolacinia,1,203
Methanomethylovorans,1,176
Methanopyrus,1,96
Methanosalsum,1,138
Methanosphaera,1,87
Methanosphaerula,1,199
Methanospirillum,1,280
Methanothermococcus,1,126
Methanotorris,1,136
Methanocorpusculum,1,143
Methylibium,1,286
Methylobacillus,1,216
Methylocaldum,1,398
Methyloceanibacter,1,270
Methylocella,1,292
Methylococcus,1,214
Methylomicrobium,1,324
Methylophilus,1,198
Methylorubrum,1,376
Methanogenic,1,125
Mesta,1,1
Methylovulum,1,328
Marinilactibacillus,1,189
Luteitalea,1,489
Mageeibacillus,1,137
Magnetococcus,1,313
Magnetospira,1,283
Mahella,1,215
Maize,1,39
Maricaulis,1,259
Marichromatium,1,259
Marinifilaceae,1,389
Marinithermus,1,148
Mesotoga,1,218
Marinobacterium,1,365
Marinovum,1,260
Marivirga,1,324
Marivivens,1,208
Megamonas,1,148
Megasphaera,1,165
Melioribacter,1,235
Melissococcus,1,123
Melittangium,1,696
Methyloversatilis,1,253
Micavibrio,1,156
Gardnerella,1,125
Nitrososphaera,1,174
Neoasaia,1,246
Neodiprion,1,7
Neomicrococcus,1,203
Niastella,1,650
Nibricoccus,1,312
Nitratifractor,1,152
Nitratireductor,1,239
Nitratiruptor,1,149
Nitrosopumilus,1,105
Nitrospirillum,1,493
Natronolimnobius,1,275
Nonomuraea,1,907
Nostocales,1,532
Novibacillus,1,261
Obesumbacterium,1,319
Oblitimonas,1,190
Oceanicoccus,1,337
Oceanimonas,1,219
Oceanithermus,1,187
Oceanobacillus,1,248
Nautilia,1,121
Natronococcus,1,286
Microcella,1,188
Modestobacter,1,391
Micrococcus,1,171
Microcoleus,1,536
Microlunatus,1,396
Microterricola,1,261
Microvirga,1,417
Milk,1,1
Minicystis,1,1119
Mitsuaria,1,408
Mobiluncus,1,141
Moorea,1,662
Natronobacterium,1,259
Moorella,1,181
Morganella,1,288
Moritella,1,343
Mucinivorans,1,206
Murdochiella,1,111
Muribaculum,1,254
Nakamurella,1,404
Natranaerobius,1,232
Natrialba,1,242
Luteipulveratus,1,389
Luteimonas,1,217
Luteibacter,1,312
Halorhodospira,1,208
Halobiforma,1,296
Halocynthiibacter,1,306
Halodesulfurarchaeum,1,130
Halogeometricum,1,192
Halomicrobium,1,209
Halopenitus,1,206
Halophilic,1,189
Halopiger,1,279
Haloquadratum,1,222
Halorientalis,1,230
Haliscomenobacter,1,592
Halostagnicola,1,194
Halotalea,1,297
Halothece,1,270
Halothermothrix,1,176
Halovivax,1,227
Heliobacterium,1,211
Herbinix,1,167
Hippea,1,128
Hirschia,1,253
Halobacteroides,1,177
Haliangium,1,633
Loktanella,1,263
Gloeocapsa,1,381
Geitlerinema,1,299
Gemella,1,116
Gemmata,1,611
Gemmatirosa,1,361
Geoalkalibacter,1,239
Geodermatophilus,1,367
Geosporobacter,1,381
Gibbsiella,1,394
Gilliamella,1,229
Gluconacetobacter,1,247
Halanaeroarchaeum,1,125
Glutamicibacter,1,245
Gordonibacter,1,229
Gottschalkia,1,209
Granulibacter,1,196
Granulosicoccus,1,531
Gynuella,1,440
Haematospirillum,1,136
Hahella,1,543
Halalkalicoccus,1,212
Hoeflea,1,326
Hoyosella,1,333
Huangpi,1,3
Leclercia,1,358
Kyrpidia,1,226
Kytococcus,1,203
Labilithrix,1,901
Lacimicrobium,1,307
Lacunisphaera,1,293
Lake,1,3
Laribacter,1,224
Lawsonella,1,139
Leadbetterella,1,293
Leifsonia,1,170
Hungateiclostridiaceae,1,277
